Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,C1 C12 C4 C5,0.1uF,4,CAP CER 0.1UF 50V 10% X7R 1210,399-13229-1-ND,digikey
2,C10 C11 C8 C9,470pF,4,CAP CER 470PF 100V X7R 0805,478-1350-1-ND,digikey
3,C2 C3 C7,10uF,3,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
4,C6,220uF_POL,1,CAP ALUM 220UF 20% 50V SMD,PCE3812CT-ND,digikey
5,CLK1,CLK_32MHZ,1,OSC XO 32.000MHZ HCMOS TTL SMD,CTX277LVCT-ND,digikey
6,D1,diode_schottky_45V_10A,1,DIODE SCHOTTKY 45V 10A CFP15,568-11697-1-ND,digikey
7,L1 L2 L3 L4,90nH,4,FIXED IND 90NH 8A 8.5 MOHM SMD,XC2328CT-ND,digikey
8,MDB1,MODULAR_DEVICE_BASE_3X2_MALE,2,16 Position Header Through Hole Male Pins,S1011E-16-ND,digikey
9,P1,PWR_JACK_2.5x5.5,1,CONN PWR JACK DC 2.5X5.5 8A T/H,CP-063BH-ND,digikey
10,R1,1k,1,RES SMD 1K OHM 1% 1/2W 1210,P1.00KAACT-ND,digikey
11,REG1,CONV_DC_DC_5V_1A,1,CONV DC/DC 1A 5V OUT SIP VERT,945-1395-5-ND,digikey
12,RV1 RV2 RV3 RV4 RV5 RV6,VAR,6,VARISTOR 47V 80A 0805,495-7454-1-ND,digikey
13,SS1,STEPSTICK,16,CONN PIN RCPT .025-.037 SOLDER,ED90331-ND,digikey
14,T1,TERM_BLK_HDR_4POS_VERT_0.2IN,1,TERM BLOCK HDR 4POS VERT 5.08MM,277-1152-ND,digikey
15,T2,TERM_BLK_HDR_4POS_VERT_0.150IN,1,TERM BLOCK HDR 4POS VERT 3.81MM,277-1223-ND,digikey
16,U1,TMC429,1,IC MOTOR CONTROLLER SPI 32QFN,1460-1071-1-ND,digikey
17,U2,SN74ABT541BDWR,1,Buffer Non-Inverting 1 Element 8 Bit per Element Push-Pull Output 20-SOIC,296-14668-1-ND,digikey
18,U3,MAX6817,1,IC DEBOUNCER SWITCH DUAL SOT23-6,MAX6817EUT+TCT-ND,digikey
